   Coefficient_of_Variation Standard_Deviation     Mean
1                  182.8886           3.156303 1.725806
2                  154.2888           2.303588 1.493036
3                  255.7437           5.403617 2.112903
4                  278.5925           6.285046 2.256000
5                  241.3429           3.791747 1.571104
6                  215.0893           3.347087 1.556139
7                  188.4199           2.441474 1.295763
8                  154.7753           2.140149 1.382745
9                  215.5783           3.103200 1.439477
10                 192.0730           2.666411 1.388228
11                 146.8115           2.074284 1.412889
12                 228.1417           3.665485 1.606670
13                 238.0157           3.684941 1.548193
14                 232.9671           4.660480 2.000488
15                 300.7822           7.776575 2.585451
