   Coefficient_of_Variation Standard_Deviation     Mean
1                  83.76495           1.125592 1.343750
2                 204.93580           3.019869 1.473568
3                 244.76570           5.418759 2.213855
4                 298.38657           6.125137 2.052752
5                 256.57174           4.360146 1.699387
6                 177.40891           2.494032 1.405810
7                 181.01360           2.481250 1.370753
8                 346.80601           6.315520 1.821053
9                 221.26176           3.835593 1.733509
10                237.86756           3.755025 1.578620
11                260.07814           4.498938 1.729841
12                283.41704           6.141850 2.167071
13                375.90175           9.830764 2.615248
14                195.75533           3.544136 1.810493
15                245.69100           4.500590 1.831809
