   Coefficient_of_Variation Standard_Deviation     Mean
1                  180.3958           3.946523 2.187702
2                  181.3313           2.907808 1.603589
3                  339.1992           6.760024 1.992936
4                  307.6704           5.650164 1.836434
5                  287.2045           4.453346 1.550584
6                  233.1869           3.544704 1.520113
7                  221.4474           3.642453 1.644839
8                  203.3330           3.318982 1.632289
9                  265.9789           5.026335 1.889749
10                 247.8396           5.195400 2.096275
11                 269.1971           5.221776 1.939759
12                 334.9931           9.476812 2.828958
13                 352.5422          10.130444 2.873541
14                 286.0254           7.087849 2.478049
15                 472.2494          15.290640 3.237831
