   Coefficient_of_Variation Standard_Deviation      Mean
1                  57.34431          0.6160417 1.0742857
2                  90.39264          0.9250709 1.0233918
3                  64.88197          0.5271660 0.8125000
4                 135.47802          1.1705956 0.8640483
5                  87.43659          0.6730807 0.7697929
6                  87.40576          0.6656492 0.7615622
7                  85.66642          0.6264592 0.7312775
8                 128.83087          0.9702078 0.7530864
9                 166.85895          1.3107816 0.7855626
10                300.32478          2.5223355 0.8398693
11                171.04187          1.4701858 0.8595473
12                327.41570          3.1299210 0.9559471
13                187.22497          1.6243661 0.8676012
14                173.38020          1.5733451 0.9074537
15                289.44645          3.0064360 1.0386847
