   Coefficient_of_Variation Standard_Deviation      Mean
1                  76.89942          0.6168854 0.8021978
2                  92.10132          0.5750241 0.6243386
3                  72.93823          0.4764173 0.6531792
4                 148.49717          1.1235630 0.7566225
5                  67.49192          0.5040123 0.7467742
6                  99.66890          0.8721028 0.8750000
7                 179.90813          1.6609074 0.9231975
8                  79.08173          0.7268353 0.9190939
9                 302.62264          3.5816730 1.1835443
10                389.31945          5.2376528 1.3453355
11                284.36538          3.1748614 1.1164725
12                396.57010          6.6073695 1.6661290
13                269.45577          2.9579001 1.0977312
14                102.08584          0.9511753 0.9317406
15                268.57557          2.8616370 1.0654867
