   Coefficient_of_Variation Standard_Deviation      Mean
1                  55.02741          0.5438003 0.9882353
2                  87.47505          0.9722377 1.1114458
3                  86.66844          0.8474247 0.9777778
4                  77.11526          0.6545277 0.8487654
5                  60.90973          0.5290699 0.8686131
6                  83.59541          0.6987459 0.8358663
7                  80.43115          0.6629094 0.8241950
8                 128.53614          1.0942151 0.8512898
9                 117.95994          0.9065293 0.7685061
10                118.27473          0.9336351 0.7893784
11                143.55072          1.1129923 0.7753304
12                107.55283          0.7807660 0.7259372
13                104.89804          0.7716864 0.7356538
14                143.85471          1.0944240 0.7607843
15                126.30338          0.9103551 0.7207686
