   Coefficient_of_Variation Standard_Deviation     Mean
1                  212.0841           4.836140 2.280294
2                  245.4397           5.430822 2.212691
3                  337.0182           8.010329 2.376824
4                  421.3227           6.762235 1.605002
5                  246.0607           3.698266 1.502989
6                  404.4446           6.915386 1.709847
7                  214.2260           3.368749 1.572521
8                  342.8710           6.662441 1.943133
9                  317.4047           7.107820 2.239356
10                 337.4955           9.288928 2.752312
11                 255.6141           6.265316 2.451084
12                 434.5748          10.955845 2.521049
13                 564.4459          17.009485 3.013484
14                 311.2113           7.003935 2.250540
15                 512.0065          25.420462 4.964871
